codigo,piezas_por_caja,usado_en_portal
CO-ARR149-12192,12,SI
CO-ARR149-12193,12,SI
CO-ARR149-12466,24,SI
CO-ARR149-12467,20,SI
CO-ARR149-12469,24,SI
CO-ARR149-12470,24,SI
CO-ARR149-13092,24,SI
CO-ARR149-13387,24,SI
CO-ARR149-13388,24,SI
CO-ARR149-4126,20,NO
CO-ARR149-6201,24,SI
CO-ARR149-6202,24,SI
CO-ARR149-6203,12,SI
CO-ARR149-8558,12,SI
CO-ARR149-8559,16,NO
CO-ARR149-9343,24,NO
CO-ARR149-9579,24,NO
CO-ARR149-9580,24,NO
CO-CAR200-12622,72,SI
CO-CAR200-13339,6,SI
CO-CAR200-13340,6,SI
CO-CAR201-6301,72,SI
CO-CAR202-5325,10,NO
CO-CAR202-5326,20,NO
CO-CAR202-5327,6,NO
CO-CAR202-5328,6,NO
CO-CAR202-5331,18,NO
CO-CAR202-6304,60,NO
CO-DGB300-0059,10,SI
CO-DGB300-0837,100,NO
CO-DGB303-11488,16,NO
CO-DGB308-13168,15,NO
CO-DGB308-13169,15,SI
CO-DGB308-13170,15,SI
CO-DGB308-7181,8,NO
CO-DGB308-7231,16,NO
CO-DGB309-0178,100,NO
CO-DGB309-0266,100,NO
CO-DGB309-0539,30,NO
CO-DGB309-0540,30,NO
CO-DGB309-0544,30,NO
CO-DGB309-0926,12,NO
CO-DGB309-0927,8,NO
CO-DGB309-0928,12,NO
CO-DGB309-0929,8,NO
CO-DGB309-0930,12,NO
CO-DGB309-11092,6,NO
CO-DGB309-11162,100,NO
CO-DGB309-11485,16,NO
CO-DGB309-11487,16,NO
CO-DGB309-12589,16,NO
CO-DGB309-12680,18,SI
CO-DGB309-12748,18,SI
CO-DGB309-12749,18,NO
CO-DGB309-12750,18,SI
CO-DGB309-12751,12,NO
CO-DGB309-12752,12,NO
CO-DGB309-12753,12,NO
CO-DGB309-12754,20,SI
CO-DGB309-13492,4,SI
CO-DGB309-13834,7,SI
CO-DGB309-13835,7,SI
CO-DGB309-13836,7,SI
CO-DGB309-13837,7,SI
CO-DGB309-13838,7,SI
CO-DGB309-13839,7,SI
CO-DGB309-13840,7,SI
CO-DGB309-14147,96,SI
CO-DGB309-14148,96,SI
CO-DGB309-14149,96,SI
CO-DGB309-14150,96,SI
CO-DGB309-14151,96,SI
CO-DGB309-14392,100,NO
CO-DGB309-14635,24,NO
CO-DGB309-1503,12,NO
CO-DGB309-2131,120,SI
CO-DGB309-2132,120,SI
CO-DGB309-2133,120,SI
CO-DGB309-2153,16,SI
CO-DGB309-2157,120,SI
CO-DGB309-2159,120,SI
CO-DGB309-2160,120,SI
CO-DGB309-2161,120,SI
CO-DGB309-2817,80,NO
CO-DGB309-2936,12,NO
CO-DGB309-2937,30,NO
CO-DGB309-2938,30,NO
CO-DGB309-6204,24,SI
CO-DGB309-6205,24,SI
CO-DGB309-6652,6,NO
CO-DGB309-6654,6,NO
CO-DGB309-6657,4,NO
