codigo_producto,nombre_producto,categoria,apariciones_visibles,clientes
CO-ARR149-12466,MARUHA NICHIRO ARROZ FRITO CON CERDO 450 G,Arroces,24,22
CO-ARR149-12467,MARUHA NICHIRO ARROZ FRITO CON CAMARÓN 600 G / 630 G,Arroces,1,1
CO-ARR149-12469,MARUHA NICHIRO ARROZ COCIDO CON POLLO Y BARDANA 450 G,Arroces,1,1
CO-ARR149-12470,MARUHA NICHIRO ARROZ FRITO CON TAKANA 450 G / 480 G,Arroces,5,5
CO-ARR149-13092,NISSUI YAKIONIGUIRI 450 G,Arroces,56,53
CO-ARR149-13387,MARUHA NICHIRO ARROZ COCIDO CON POLLO Y BARDANA 430 G,Arroces,25,21
CO-ARR149-13388,MARUHA NICHIRO ARROZ FRITO CON TAKANA 430 G,Arroces,18,16
CO-CAR200-12622,SUKIYA YAKITORI 180 G,Congelados,106,96
CO-CAR201-11073,WAGYU JAPONÉS CHUCK ROLL KILO A5 BMS #10+,Congelados,3,3
CO-CAR201-12441,WAGYU JAPONÉS TENDER LOIN KILO A5 BMS #10+,Congelados,8,7
CO-CAR201-12970,WAGYU JAPONÉS NECK KILO A5 BMS #10+,Congelados,2,2
CO-CAR201-13368,WAGYU JAPONÉS TOP ROUND KILO A5 BMS #10+,Congelados,5,4
CO-CAR201-13369,WAGYU JAPONÉS FLAT IRON KILO A5 BMS #10+,Congelados,4,3
CO-CAR201-13898,WAGYU JAPONÉS SENDAI RIB EYE KILO A5 BMS #10+,Congelados,1,1
CO-CAR201-13899,WAGYU JAPONÉS SENDAI STRIPLOIN KILO A5 BMS #10+,Congelados,3,3
CO-CAR201-14205,WAGYU JAPONÉS RUMP CAP KILO A5 BMS #10+,Otros,2,2
CO-CAR201-14206,WAGYU JAPONÉS CHUCK RIB KILO A5 BMS #10+,Congelados,1,1
CO-DEL250-10451,TOYO CONG. NAMA SHOKU PAN,Congelados,14,14
CO-DEL252-10958,TOYO CONG. KOSHIAN PAN,Congelados,11,10
CO-DEL252-10959,TOYO CONG. TSUBUAN PAN,Congelados,13,12
CO-DEL900-14395,TOYO BOLA DE NIEVE MATCHA PZ.,Congelados,5,5
CO-DEL900-14396,TOYO BOLA DE NIEVE TARO PZ,Congelados,4,4
CO-DEL900-14397,TOYO BOLA DE NIEVE SAKE PZ,Congelados,5,5
